Metric,Condition,n,mean,median,std,p10,p90
Download (Mbps),Ice HPLMN (home),3,105.4,130.6,95.2,26.2,174.5
Upload (Mbps),Ice HPLMN (home),3,17.0,12.0,20.0,2.4,33.6
Latency (ms),Ice HPLMN (home),3,50.7,50.9,18.1,36.2,65.1
Download (Mbps),Telenor VPLMN (roaming),4,131.0,118.7,121.6,24.7,247.2
Upload (Mbps),Telenor VPLMN (roaming),4,6.6,2.2,10.5,0.0,16.8
Latency (ms),Telenor VPLMN (roaming),4,60.9,63.1,4.7,56.5,63.4
