Condition,RSRP n,RSRP mean,RSRP median,RSRP std,RSRQ n,RSRQ mean,RSRQ median,RSRQ std,DL n,DL mean,DL median,DL std
Ice HPLMN (home),249,-91.4,-91.0,10.3,249,-13.8,-13.0,3.1,3,105.4,130.6,95.2
Telenor VPLMN (roam),306,-89.4,-88.1,8.7,306,-13.8,-14.0,3.8,4,131.0,118.7,121.6
