timestamp,download,upload,ping,server_lat,server_lon,server_name,server_country,server_sponsor,server_id,server_latency,share_url,client_lat,client_lon,gps_lat,gps_lon
2026-05-02T08:12:53.095498Z,290783727.4987339,15172135.875196513,28.122,59.9494,10.7564,Oslo,Norway,Blix Solutions AS,32410,28.122,,59.9016,10.7343,,
2026-05-02T08:19:29.629009Z,134961027.70880088,33082168.51856561,64.543,55.6460,12.2979,Taastrup,Denmark,Fiberby ApS,59153,64.543,http://www.speedtest.net/result/19146297870.png,59.9452,10.7559,,
2026-05-02T08:34:24.642605Z,605870.8000806951,0.0,38.823,59.9494,10.7564,Oslo,Norway,AVUR AS,18967,38.823,,59.9016,10.7343,,
2026-05-02T08:52:36.678863Z,7069308.956515827,0.0,61.278,57.7000,11.9667,Gothenburg,Sweden,Bahnhof AB,34190,61.278,,59.9016,10.7343,,
2026-05-02T09:13:00.788057Z,23509923.638947383,0.0,49.027,59.9494,10.7564,Oslo,Norway,AVUR AS,18967,49.027,,59.9452,10.7559,,
2026-05-02T09:23:43.675034Z,111659.4416471222,0.0,68.67,59.9494,10.7564,Oslo,Norway,Telenor Norge AS,12919,68.67,,59.9452,10.7559,,
