Direction,Count,Gap (s) mean,Gap (s) max,RSRP before (dBm),RSRP after (dBm),RSRP delta (dB),RSRQ before (dB),RSRQ after (dB),RAT changed (%)
Home → Roam,11,61.2,345.9,-95.9,-93.6,2.3,-15.5,-14.4,63.6
Roam → Home,10,69.2,410.3,-95.8,-85.4,10.4,-15.8,-12.2,60.0
